model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.43003207,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.8226914,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.8727728,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.819451,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.78843755,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.95149183,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.700889,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.83618957,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.8040343,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.81893814,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.51032794,0,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7631061,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.77628094,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.80886877,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8141014,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8044311,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8244568,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.76968104,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.81406975,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.84445107,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8273698,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.86264086,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8099864,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.76078296,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.8534,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.82363015,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.81456465,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.78455657,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8025438,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.88875866,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.84306824,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8863332,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.6245962,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.72186345,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.84741956,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.66492736,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.7481534,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.79372394,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7795489,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.810779,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8307085,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.72088593,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.7211758,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.86243284,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.77418643,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8155121,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.8964158,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.7807941,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.7696908,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.71404386,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.8834678,0,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.72710353,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8783736,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8904686,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00002241.JPEG,n01443537,1,794,0.10961028,0,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.7773537,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.76682085,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.79786295,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.70031005,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.76628727,1,imagenet_c,glass_blur,1,none
convnext_large,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.26456147,1,imagenet_c,glass_blur,1,none
